id,year,rank,school,games,wins,losses,win_percentage,conference_wins,conference_losses,home_wins,home_losses,away_wins,away_losses,offensive_rating,defensive_rating,net_rating,field_goals,field_goal_attempts,field_goal_percentage,3_pointers,3_pointer_attempts,3_pointer_percentage,effective_field_goal_percentage,free_throws,free_throw_attempts,free_throw_percentage,offensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,opponent_points,simple_rating
463,1983,8,Providence,29,15,14,0.517,5,11,,,,,,,,24.6,50.4,0.487,,,,,14.4,22.1,0.652,,30.4,14.9,6.9,3.7,14.9,18.1,63.5,63.5,3.61
464,1983,9,Seton Hall,28,9,19,0.321,2,14,,,,,,,,26,56,0.465,,,,,14.8,21.5,0.689,,30.8,15,8.6,,19.2,22.8,66.9,71,-2.24
465,1982,1,Boston College,32,25,7,0.781,12,4,,,,,,,,31.5,62.4,0.505,,,,,21.3,29.7,0.719,,37.8,,,,,21.8,84.3,73.6,11.49
466,1982,2,St. John's (NY),33,28,5,0.848,12,4,,,,,,,,27.8,52.5,0.529,,,,,19.7,25.5,0.77,,33,16.4,5.7,2.9,14.1,20.5,75.2,63.8,16.18
467,1982,3,Villanova,32,24,8,0.75,12,4,,,,,,,,27.3,53.4,0.511,,,,,18.5,25,0.739,,33.1,,,,,,73,68.8,10.52
468,1982,4,Georgetown,32,22,10,0.688,11,5,,,,,,,,28.3,58,0.489,,,,,17.5,25.5,0.688,,37,13.9,9.9,5,16.6,,74.2,64.8,12.3
469,1982,5,Syracuse,31,21,10,0.677,9,7,,,,,,,,32.9,62.1,0.529,,,,,18.5,26,0.713,,38,19.8,8.3,2.8,16.3,24,84.3,74.5,14.69
470,1982,6,Pitt,28,13,15,0.464,6,10,,,,,,,,25.3,56.4,0.448,,,,,16.7,23.8,0.704,,33.8,11.8,6.4,1.5,15,22,67.2,68.9,2.71
471,1982,7,UConn,28,12,16,0.429,5,11,,,,,,,,27.3,59.6,0.457,,,,,16,22.7,0.706,,33.9,11.2,7.9,2.3,14.5,22.2,70.5,71.5,2.81
472,1982,8,Providence,31,12,19,0.387,4,12,,,,,,,,26.3,55.3,0.476,0.2,0.6,0.389,0.478,11.3,16.8,0.675,,30.7,15.7,7.2,2.7,15.7,18.6,64,66.1,1.15
473,1982,9,Seton Hall,29,6,23,0.207,1,15,,,,,,,,24.8,56.8,0.436,,,,,15.1,22.2,0.68,,31.4,11.7,6.9,,18.7,22.4,64.6,76.5,-6.94
474,1981,1,Villanova,32,24,8,0.75,11,3,,,,,,,,28.3,52.8,0.536,,,,,17.1,23.7,0.721,,30.3,,,,,,73.7,65.9,10.55
475,1981,2,Georgetown,37,30,7,0.811,10,4,,,,,,,,26.2,52.1,0.503,,,,,15.2,23.2,0.652,,33.3,13.5,10.4,4.5,15.1,18.4,67.6,53.5,19.29
476,1981,3,St. John's (NY),30,21,9,0.7,9,5,,,,,,,,25.1,49.4,0.509,,,,,19.9,27.2,0.73,,31.9,13.2,6.6,3.3,15.7,20.8,70.1,66.5,8.91
477,1981,4,Boston College,32,22,10,0.688,8,6,,,,,,,,29.6,57.2,0.517,,,,,18.7,27.8,0.671,,33.7,12.3,8.7,4,15.7,20.7,77.8,69.8,10.08
478,1981,5,UConn,28,17,11,0.607,7,7,,,,,,,,26.2,52.6,0.499,,,,,15.3,22.1,0.69,,31.1,14.6,8.5,2.1,15.4,21.7,67.7,63.6,7.04
479,1981,6,Syracuse,29,16,13,0.552,7,7,,,,,,,,30.7,58.6,0.523,,,,,17.9,25.1,0.711,,37.4,14.6,,,,23.9,79.2,75.8,7.57
480,1981,7,Providence,27,10,17,0.37,2,12,,,,,,,,25.1,53.4,0.471,,,,,11.7,17.4,0.672,,29.8,14.5,5.7,2.7,13.9,17.8,61.9,63.7,0.65
481,1981,8,Seton Hall,27,11,16,0.407,2,12,,,,,,,,27.6,60.4,0.456,,,,,17,24.1,0.707,,35,11.5,8.3,3.4,18.1,23.6,72.1,76.9,0.66
482,1980,1,Boston College,30,23,7,0.767,10,4,,,,,,,,26.3,51.6,0.51,,,,,20,27.8,0.719,,32.2,,8.5,2.9,,20.5,72.7,64.3,7.47
483,1980,2,Georgetown,32,20,12,0.625,9,5,,,,,,,,27.2,54.9,0.496,,,,,14.1,21.8,0.647,,33.6,15.7,8.8,2.8,16.3,20.3,68.6,62.8,5.79
484,1980,3,UConn,29,20,9,0.69,8,6,,,,,,,,26.4,51.1,0.516,,,,,16.8,21.5,0.782,,31.8,15.3,8.2,2.5,17.2,19.4,69.6,63.3,5.9
485,1980,4,St. John's (NY),28,17,11,0.607,8,6,,,,,,,,25.9,53.6,0.484,,,,,16.5,21.9,0.757,,35,,,,,21.7,68.4,64.7,6.98
486,1980,5,Villanova,31,20,11,0.645,8,6,,,,,,,,27.3,52,0.525,,,,,16.5,22.6,0.73,,31.8,,,,,18.8,71,66.7,6.92
487,1980,6,Syracuse,34,22,12,0.647,6,8,,,,,,,,29.8,56,0.533,,,,,17.7,23.6,0.75,,35.4,17.4,,,,22.2,77.4,71.8,8.73
488,1980,7,Seton Hall,27,11,16,0.407,4,10,,,,,,,,24.5,51.7,0.474,,,,,13.8,21,0.657,,30.2,8.9,7.3,2.7,14.6,19.5,62.8,62.4,0.85
489,1980,8,Providence,28,10,18,0.357,3,11,,,,,,,,25,54.8,0.456,,,,,14.4,20.1,0.715,,30.9,12.9,6.5,3.1,15.7,19.6,64.3,67,-2.1
490,1979,1,Georgetown,32,26,6,0.813,5,1,,,,,,,,31.2,58.5,0.534,,,,,17.7,24.2,0.729,,34.3,17.3,8.2,2,14,16.9,80.1,68.8,13.07
491,1979,2,St. John's (NY),29,24,5,0.828,5,1,,,,,,,,30.1,60,0.502,,,,,15.3,22.2,0.689,,39.6,14.7,10,4.4,17.2,,75.6,66.9,10.43
492,1979,3,Syracuse,30,26,4,0.867,5,1,,,,,,,,34.2,63.4,0.539,,,,,17.5,24.3,0.719,,40.9,20.5,,,,21.7,85.8,70.4,16.43
493,1979,4,UConn,29,20,9,0.69,3,3,,,,,,,,28.6,57.8,0.495,,,,,17.4,23.5,0.739,,36.4,17.6,9.2,,,20.9,74.6,69.9,3.37
494,1979,5,Boston College,29,19,10,0.655,2,4,,,,,,,,28.4,54.9,0.518,,,,,19.2,26.5,0.725,,35,,,,,21.3,76.1,68.9,5.92
495,1979,6,Seton Hall,27,14,13,0.519,1,5,,,,,,,,24.9,55.8,0.446,,,,,18.4,26.1,0.705,,33.1,8.8,9,3.5,18.3,,68.2,69.9,-2.87
496,1979,7,Providence,27,11,16,0.407,0,6,,,,,,,,25.7,56.8,0.452,,,,,11.7,17,0.689,,32.2,13.7,7.3,3,15.2,17.5,63.1,62.7,-0.03
